Assembly	MP_helen_r10_bins_1	MP_helen_r10_bins_2	MP_helen_r10_bins_3	MP_r10_bins_1	MP_r10_bins_2	MP_r10_bins_3	r1_medaka_r10_bins_1	r1_medaka_r10_bins_2	r1_medaka_r10_bins_3	r2_medaka_r10_bins_1	r2_medaka_r10_bins_2	r2_medaka_r10_bins_3	racon_r1_r10_bins_1	racon_r1_r10_bins_2	racon_r1_r10_bins_3	racon_r2_r10_bins_1	racon_r2_r10_bins_2	racon_r2_r10_bins_3	raw_r10_bins_1	raw_r10_bins_2	raw_r10_bins_3
# misassemblies	15	16	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	19	18	19
  # contig misassemblies	15	16	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	19	18	19
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	13	14	14	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	17	16	17
    # c. inversions	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4757946	4757846	4757780	4758962	4758994	4758970	4758583	4758586	4758587	4758100	4758114	4758101	4757934	4757908	4757887	4757853	4757839	4757857	4755983	4756088	4755683
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	4	4	4	6	6	6	4	4	4	4	4	4	6	4	4	4	4	4	18	14	18
# local misassemblies	8	8	8	8	8	8	8	8	8	8	8	8	7	8	8	8	8	8	27	20	29
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	8	11	7
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	19142	19265	19142	19270	19255	19261	19255	18975	19223	19243	18976	19194	19800	19226	19294	19325	19508	19722	21862	21643	21924
# indels	750	743	758	984	1002	985	542	527	540	544	529	541	1665	1663	1687	1571	1594	1563	10253	10546	10361
    # indels (<= 5 bp)	652	644	660	890	906	891	452	438	450	453	439	450	1573	1572	1595	1481	1504	1473	10083	10370	10191
    # indels (> 5 bp)	98	99	98	94	96	94	90	89	90	91	90	91	92	91	92	90	90	90	170	176	170
Indels length	5315	5286	5291	5504	5546	5502	4976	4951	4972	4985	4975	4981	6275	6256	6274	6109	6152	6102	18404	19245	18569
