All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_8bins_1_MP  r10_8bins_1_MP_helen  r10_8bins_1_r1_medaka  r10_8bins_1_r2_medaka  r10_8bins_1_racon_r1  r10_8bins_1_racon_r2  r10_8bins_1_raw  r10_8bins_2_MP  r10_8bins_2_MP_helen  r10_8bins_2_r1_medaka  r10_8bins_2_r2_medaka  r10_8bins_2_racon_r1  r10_8bins_2_racon_r2  r10_8bins_2_raw  r10_8bins_3_MP  r10_8bins_3_MP_helen  r10_8bins_3_r1_medaka  r10_8bins_3_r2_medaka  r10_8bins_3_racon_r1  r10_8bins_3_racon_r2  r10_8bins_3_raw
# misassemblies                                 2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2              
  # contig misassemblies                        2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2              
    # c. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # c. translocations                         2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2                2               2                     2                      2                      2                     2                     2              
    # c. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
  # scaffold misassemblies                      0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. translocations                         0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassembled contigs                          1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length                     2992094         2992072               2992073                2992074                2991951               2991999               2990636          2992084         2992066               2992073                2992074                2991957               2991981               2990626          2992095         2992076               2992076                2992073                2991935               2991970               2990261        
# possibly misassembled contigs                 1               1                     1                      1                      1                     1                     2                1               1                     1                      1                      1                     1                     2                1               1                     1                      1                      1                     1                     2              
    # possible misassemblies                    8               8                     8                      8                      8                     8                     9                8               8                     8                      8                      8                     8                     9                8               8                     8                      8                      8                     8                     9              
# local misassemblies                           7               7                     7                      7                      7                     7                     14               7               7                     7                      7                      7                     7                     12               7               7                     7                      7                      7                     7                     13             
# scaffold gap ext. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassemblies caused by fragmented reference  16              16                    16                     16                     16                    16                    10               16              16                    16                     16                     16                    16                    11               16              16                    16                     16                     16                    16                    11             
# unaligned mis. contigs                        6               6                     6                      6                      6                     6                     7                6               6                     6                      6                      6                     6                     7                6               6                     6                      6                      6                     6                     7              
# mismatches                                    6789            6989                  6885                   6819                   6824                  6885                  4184             6806            6980                  6818                   6859                   6801                  6929                  4411             6786            6938                  6867                   6782                   6767                  6785                  4083           
# indels                                        652             659                   640                    640                    880                   869                   3445             655             663                   660                    639                    910                   881                   3434             653             659                   644                    655                    929                   903                   3358           
    # indels (<= 5 bp)                          627             633                   616                    616                    856                   843                   3417             631             638                   635                    615                    885                   853                   3405             628             633                   620                    630                    904                   878                   3331           
    # indels (> 5 bp)                           25              26                    24                     24                     24                    26                    28               24              25                    25                     24                     25                    28                    29               25              26                    24                     25                     25                    25                    27             
Indels length                                   1964            1974                  1931                   1931                   2269                  2240                  5296             1960            1973                  1978                   1930                   2331                  2295                  5322             1966            1975                  1936                   1970                   2323                  2312                  5240           
