S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	3	734	sa_ill_sa_contig10	contig_103	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	735	1399	sa_ill_sa_contig60	contig_103	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3000	2517	sa_ill_sa_contig65	contig_103	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226414	3001	sa_ill_sa_contig1	contig_103	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226415	227745	sa_ill_sa_contig48	contig_103	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326370	227746	sa_ill_sa_contig11	contig_103	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326371	333452	sa_ill_sa_contig36	contig_103	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355254	333453	sa_ill_sa_contig30	contig_103	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355255	355966	sa_ill_sa_contig55	contig_103	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370179	355967	sa_ill_sa_contig34	contig_103	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370333	403310	sa_ill_sa_contig26	contig_103	99.82		True
local misassembly [fragmentation of reference genome]
2	925	403515	404434	sa_ill_sa_contig51	contig_103	97.85		True
translocation
198	3323	404987	408112	sa_ill_sa_contig41	contig_103	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408534	410138	sa_ill_sa_contig8	contig_103	99.53		True
translocation
1	28120	410139	438255	sa_ill_sa_contig28	contig_103	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438260	477996	sa_ill_sa_contig21	contig_103	99.88		True
local misassembly [fragmentation of reference genome]
98092	98471	478375	477997	sa_ill_sa_contig11	contig_103	97.97		True
translocation
1	62604	478376	540811	sa_ill_sa_contig14	contig_103	99.56		True
local misassembly
62396	62502	540861	540967	sa_ill_sa_contig14	contig_103	98.6		True
translocation
203	3323	540968	544085	sa_ill_sa_contig41	contig_103	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544503	546099	sa_ill_sa_contig8	contig_103	99.18		True
translocation
19	34443	580539	546100	sa_ill_sa_contig24	contig_103	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619336	580540	sa_ill_sa_contig22	contig_103	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619337	619869	sa_ill_sa_contig63	contig_103	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654241	619870	sa_ill_sa_contig25	contig_103	99.81		True
translocation
203	3323	654406	657528	sa_ill_sa_contig41	contig_103	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657900	789925	sa_ill_sa_contig8	contig_103	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790267	939768	sa_ill_sa_contig5	contig_103	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939814	970727	sa_ill_sa_contig27	contig_103	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970728	971534	sa_ill_sa_contig53	contig_103	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974575	971653	sa_ill_sa_contig43	contig_103	99.53		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988276	974576	sa_ill_sa_contig35	contig_103	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989008	1114726	sa_ill_sa_contig10	contig_103	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114727	1115391	sa_ill_sa_contig60	contig_103	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1116994	1116511	sa_ill_sa_contig65	contig_103	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137842	1116995	sa_ill_sa_contig32	contig_103	99.82		True
translocation
1	130429	1268203	1137843	sa_ill_sa_contig9	contig_103	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268204	1272787	sa_ill_sa_contig40	contig_103	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272788	1278109	sa_ill_sa_contig38	contig_103	99.83		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1282694	1278110	sa_ill_sa_contig40	contig_103	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1308884	1282695	sa_ill_sa_contig29	contig_103	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309250	1310107	sa_ill_sa_contig54	contig_103	99.88		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312310	1310637	sa_ill_sa_contig46	contig_103	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1312311	1355836	sa_ill_sa_contig18	contig_103	99.38		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1356369	1355837	sa_ill_sa_contig63	contig_103	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1356370	1499309	sa_ill_sa_contig6	contig_103	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1499463	1520518	sa_ill_sa_contig31	contig_103	99.9		True
translocation
98057	98213	1520519	1520675	sa_ill_sa_contig11	contig_103	98.58		True
local misassembly
98340	98561	1520676	1520897	sa_ill_sa_contig11	contig_103	98.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1547495	1520898	sa_ill_sa_contig12	contig_103	99.3		True
local misassembly
46	44268	1591729	1547496	sa_ill_sa_contig12	contig_103	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1591730	1642457	sa_ill_sa_contig17	contig_103	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1642458	1647454	sa_ill_sa_contig39	contig_103	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1647455	1661816	sa_ill_sa_contig33	contig_103	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1662528	1661817	sa_ill_sa_contig55	contig_103	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1669220	1662529	sa_ill_sa_contig37	contig_103	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1669247	1672087	sa_ill_sa_contig44	contig_103	99.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
