Assembly	r10_1bin_v4_1_MP	r10_1bin_v4_1_MP_helen	r10_1bin_v4_1_r1_medaka	r10_1bin_v4_1_r2_medaka	r10_1bin_v4_1_racon_r1	r10_1bin_v4_1_racon_r2	r10_1bin_v4_1_raw	r10_1bin_v4_2_MP	r10_1bin_v4_2_MP_helen	r10_1bin_v4_2_r1_medaka	r10_1bin_v4_2_r2_medaka	r10_1bin_v4_2_racon_r1	r10_1bin_v4_2_racon_r2	r10_1bin_v4_2_raw	r10_1bin_v4_3_MP	r10_1bin_v4_3_MP_helen	r10_1bin_v4_3_r1_medaka	r10_1bin_v4_3_r2_medaka	r10_1bin_v4_3_racon_r1	r10_1bin_v4_3_racon_r2	r10_1bin_v4_3_raw
# misassemblies	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13
  # contig misassemblies	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2719604	2717981	2721032	2721117	2720473	2720627	2718866	2719612	2717995	2721107	2721159	2720554	2720625	2718764	2719599	2717947	2721113	2721154	2720557	2720624	2718437
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	10	10	10	10	10	10	18	10	10	10	10	10	10	24	10	10	10	10	10	10	16
# local misassemblies	10	10	9	9	9	10	20	10	10	10	9	10	10	24	10	10	9	10	9	11	20
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	26	26	26	26	26	26	22	26	26	26	26	26	26	24	26	26	26	26	26	25	24
# unaligned mis. contigs	6	6	6	6	6	6	5	6	6	6	6	6	6	5	6	6	6	6	6	6	4
# mismatches	7681	6800	7798	7784	7305	8062	6748	7656	6810	7733	7683	7639	7662	6807	7679	6889	7808	7776	7683	7840	6668
# indels	2956	993	2819	2888	2935	3060	4396	2944	970	2837	2855	2974	2977	4197	2952	1162	2868	2930	2976	3054	4282
    # indels (<= 5 bp)	2883	931	2768	2837	2883	3006	4340	2877	903	2786	2804	2921	2924	4134	2878	1097	2817	2879	2923	3002	4222
    # indels (> 5 bp)	73	62	51	51	52	54	56	67	67	51	51	53	53	63	74	65	51	51	53	52	60
Indels length	6852	4710	6396	6503	6641	6796	8459	6827	4675	6471	6484	6781	6727	8323	6892	4941	6474	6522	6764	6792	8399
