All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_1bin_v2_1_MP  r10_1bin_v2_1_MP_helen  r10_1bin_v2_1_r1_medaka  r10_1bin_v2_1_r2_medaka  r10_1bin_v2_1_racon_r1  r10_1bin_v2_1_racon_r2  r10_1bin_v2_1_raw  r10_1bin_v2_2_MP  r10_1bin_v2_2_MP_helen  r10_1bin_v2_2_r1_medaka  r10_1bin_v2_2_r2_medaka  r10_1bin_v2_2_racon_r1  r10_1bin_v2_2_racon_r2  r10_1bin_v2_2_raw  r10_1bin_v2_3_MP  r10_1bin_v2_3_MP_helen  r10_1bin_v2_3_r1_medaka  r10_1bin_v2_3_r2_medaka  r10_1bin_v2_3_racon_r1  r10_1bin_v2_3_racon_r2  r10_1bin_v2_3_raw
# misassemblies                                 21                21                      21                       21                       21                      21                      19                 21                21                      21                       21                       21                      21                      19                 21                21                      21                       21                       21                      21                      19               
  # contig misassemblies                        21                21                      21                       21                       21                      21                      19                 21                21                      21                       21                       21                      21                      19                 21                21                      21                       21                       21                      21                      19               
    # c. relocations                            1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
    # c. translocations                         20                20                      20                       20                       20                      20                      18                 20                20                      20                       20                       20                      20                      18                 20                20                      20                       20                       20                      20                      18               
    # c. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
  # scaffold misassemblies                      0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. translocations                         0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassembled contigs                          1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length                     4765873           4765292                 4765363                  4765370                  4764541                 4764622                 4763407            4765365           4765330                 4765353                  4765356                  4764481                 4764622                 4763482            4765372           4765362                 4765559                  4765361                  4764967                 4764598                 4763422          
# possibly misassembled contigs                 1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
    # possible misassemblies                    12                12                      12                       12                       12                      12                      32                 12                12                      12                       12                       12                      12                      34                 12                12                      12                       12                       12                      12                      32               
# local misassemblies                           37                37                      37                       37                       36                      37                      57                 36                36                      36                       36                       36                      36                      60                 36                36                      37                       36                       37                      36                      57               
# scaffold gap ext. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassemblies caused by fragmented reference  42                42                      42                       42                       42                      42                      36                 42                42                      42                       42                       42                      42                      35                 42                42                      42                       42                       42                      42                      36               
# unaligned mis. contigs                        6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                
# mismatches                                    20658             20384                   20771                    20621                    21092                   21413                   23550              20687             20561                   20686                    20645                    20718                   20988                   22637              20673             20543                   20496                    20624                    20602                   21208                   23553            
# indels                                        946               844                     697                      696                      1876                    1711                    11136              949               848                     718                      697                      1906                    1727                    11064              953               773                     722                      709                      1916                    1758                    11136            
    # indels (<= 5 bp)                          848               745                     601                      600                      1778                    1615                    10936              850               749                     621                      600                      1809                    1629                    10863              852               672                     624                      611                      1818                    1659                    10937            
    # indels (> 5 bp)                           98                99                      96                       96                       98                      96                      200                99                99                      97                       97                       97                      98                      201                101               101                     98                       98                       98                      99                      199              
Indels length                                   6195              6055                    5824                     5825                     7256                    6963                    20315              6216              6145                    5946                     5919                     7291                    7095                    20371              6221              6044                    5943                     5939                     7314                    7127                    20306            
