All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_1bin_v4_1_MP  r10_1bin_v4_1_MP_helen  r10_1bin_v4_1_r1_medaka  r10_1bin_v4_1_r2_medaka  r10_1bin_v4_1_racon_r1  r10_1bin_v4_1_racon_r2  r10_1bin_v4_1_raw  r10_1bin_v4_2_MP  r10_1bin_v4_2_MP_helen  r10_1bin_v4_2_r1_medaka  r10_1bin_v4_2_r2_medaka  r10_1bin_v4_2_racon_r1  r10_1bin_v4_2_racon_r2  r10_1bin_v4_2_raw  r10_1bin_v4_3_MP  r10_1bin_v4_3_MP_helen  r10_1bin_v4_3_r1_medaka  r10_1bin_v4_3_r2_medaka  r10_1bin_v4_3_racon_r1  r10_1bin_v4_3_racon_r2  r10_1bin_v4_3_raw
# misassemblies                                 21                21                      21                       21                       21                      21                      19                 21                21                      21                       21                       21                      21                      19                 21                21                      21                       21                       21                      21                      19               
  # contig misassemblies                        21                21                      21                       21                       21                      21                      19                 21                21                      21                       21                       21                      21                      19                 21                21                      21                       21                       21                      21                      19               
    # c. relocations                            1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
    # c. translocations                         20                20                      20                       20                       20                      20                      18                 20                20                      20                       20                       20                      20                      18                 20                20                      20                       20                       20                      20                      18               
    # c. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
  # scaffold misassemblies                      0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. translocations                         0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassembled contigs                          1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length                     4765380           4765358                 4765659                  4765647                  4764472                 4764668                 4763504            4765857           4765290                 4765665                  4765638                  4764540                 4764597                 4763606            4765360           4765338                 4765695                  4765649                  4764493                 4764872                 4763509          
# possibly misassembled contigs                 1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
    # possible misassemblies                    12                12                      12                       12                       12                      12                      34                 12                12                      12                       12                       12                      12                      32                 12                12                      12                       12                       12                      12                      34               
# local misassemblies                           36                36                      36                       37                       36                      37                      58                 37                36                      37                       37                       37                      36                      55                 36                36                      37                       37                       36                      38                      61               
# scaffold gap ext. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassemblies caused by fragmented reference  42                42                      42                       42                       42                      42                      36                 42                42                      42                       42                       42                      42                      37                 42                42                      42                       42                       42                      42                      35               
# unaligned mis. contigs                        6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                
# mismatches                                    20732             20540                   20833                    20650                    20800                   21089                   22765              20698             20589                   20968                    20898                    21127                   21234                   23275              20766             20555                   20750                    20851                    20354                   21350                   22520            
# indels                                        954               838                     986                      975                      1868                    1701                    11189              954               844                     991                      961                      1908                    1731                    10972              966               858                     1019                     985                      1925                    1715                    10943            
    # indels (<= 5 bp)                          854               738                     889                      879                      1771                    1605                    10983              856               743                     895                      865                      1809                    1634                    10774              867               756                     923                      889                      1828                    1618                    10745            
    # indels (> 5 bp)                           100               100                     97                       96                       97                      96                      206                98                101                     96                       96                       99                      97                      198                99                102                     96                       96                       97                      97                      198              
Indels length                                   6236              6141                    6237                     6117                     7246                    6966                    20687              6210              6162                    6137                     6107                     7275                    7082                    20201              6245              6187                    6183                     6129                     7338                    6961                    19939            
