S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
38202	38352	1	151	sa_ill_sa_contig23	contig_8	99.34		True
local misassembly
38161	38352	239	429	sa_ill_sa_contig23	contig_8	95.31		True
translocation
203	3323	522	3646	sa_ill_sa_contig41	contig_8	99.68		True
fake: not a misassembly [fragmentation of reference genome]
1	1649	4034	5682	sa_ill_sa_contig8	contig_8	99.71		True
translocation
1	41074	5683	46766	sa_ill_sa_contig20	contig_8	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	1576	46793	48366	sa_ill_sa_contig47	contig_8	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2840	51205	48367	sa_ill_sa_contig44	contig_8	99.58		True
fake: not a misassembly [fragmentation of reference genome]
1	6686	51231	57920	sa_ill_sa_contig37	contig_8	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	57921	58632	sa_ill_sa_contig55	contig_8	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	73000	58633	sa_ill_sa_contig33	contig_8	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	77996	73001	sa_ill_sa_contig39	contig_8	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	128724	77997	sa_ill_sa_contig17	contig_8	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
46	44268	128725	172957	sa_ill_sa_contig12	contig_8	99.65		True
local misassembly
43758	70357	172958	199568	sa_ill_sa_contig12	contig_8	99.27		True
indel: indel (> 5bp) [fragmentation of reference genome]
98340	98561	199790	199569	sa_ill_sa_contig11	contig_8	98.02		True
local misassembly
98057	98213	199947	199791	sa_ill_sa_contig11	contig_8	98.58		True
translocation
1	21042	220995	199948	sa_ill_sa_contig31	contig_8	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	142808	364036	221149	sa_ill_sa_contig6	contig_8	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	364037	364569	sa_ill_sa_contig63	contig_8	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	408097	364570	sa_ill_sa_contig18	contig_8	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1727	408098	409771	sa_ill_sa_contig46	contig_8	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	857	411158	410301	sa_ill_sa_contig54	contig_8	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	26180	411524	437712	sa_ill_sa_contig29	contig_8	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	437713	442297	sa_ill_sa_contig40	contig_8	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	447616	442298	sa_ill_sa_contig38	contig_8	99.85		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	452200	447617	sa_ill_sa_contig40	contig_8	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130429	452201	582577	sa_ill_sa_contig9	contig_8	99.79		True
translocation
71	20896	582578	603429	sa_ill_sa_contig32	contig_8	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	603430	603913	sa_ill_sa_contig65	contig_8	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	720	605697	605033	sa_ill_sa_contig60	contig_8	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	125486	731395	605698	sa_ill_sa_contig10	contig_8	99.68		True
fake: not a misassembly [fragmentation of reference genome]
1	13692	732127	745831	sa_ill_sa_contig35	contig_8	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2978	745832	748748	sa_ill_sa_contig43	contig_8	99.53		True
fake: not a misassembly [fragmentation of reference genome]
56	861	749673	748867	sa_ill_sa_contig53	contig_8	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30897	780578	749674	sa_ill_sa_contig27	contig_8	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	930107	780624	sa_ill_sa_contig5	contig_8	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	1062463	930449	sa_ill_sa_contig8	contig_8	99.85		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1065957	1062835	sa_ill_sa_contig41	contig_8	99.71		True
translocation
1	34367	1066122	1100517	sa_ill_sa_contig25	contig_8	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1101050	1100518	sa_ill_sa_contig63	contig_8	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	1101051	1139838	sa_ill_sa_contig22	contig_8	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
19	34443	1139839	1174276	sa_ill_sa_contig24	contig_8	99.87		True
translocation
1	1604	1175881	1174277	sa_ill_sa_contig8	contig_8	99.65		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1179421	1176299	sa_ill_sa_contig41	contig_8	99.71		True
translocation
62396	62502	1179528	1179422	sa_ill_sa_contig14	contig_8	98.6		True
local misassembly
1	62604	1242053	1179578	sa_ill_sa_contig14	contig_8	99.6		True
translocation
98092	98471	1242054	1242432	sa_ill_sa_contig11	contig_8	97.97		True
local misassembly [fragmentation of reference genome]
1	39729	1282179	1242433	sa_ill_sa_contig21	contig_8	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	28120	1310304	1282184	sa_ill_sa_contig28	contig_8	99.85		True
translocation
1	1604	1311908	1310305	sa_ill_sa_contig8	contig_8	99.53		True
fake: not a misassembly [fragmentation of reference genome]
198	3323	1315455	1312330	sa_ill_sa_contig41	contig_8	99.87		True
translocation
2	925	1316929	1316010	sa_ill_sa_contig51	contig_8	97.96		True
local misassembly [fragmentation of reference genome]
1	32969	1350102	1317134	sa_ill_sa_contig26	contig_8	99.79		True
fake: not a misassembly [fragmentation of reference genome]
1	14210	1350256	1364466	sa_ill_sa_contig34	contig_8	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1365178	1364467	sa_ill_sa_contig55	contig_8	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	1365179	1386978	sa_ill_sa_contig30	contig_8	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	1394064	1386979	sa_ill_sa_contig36	contig_8	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	1394065	1492699	sa_ill_sa_contig11	contig_8	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	1494030	1492700	sa_ill_sa_contig48	contig_8	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	1494031	1717458	sa_ill_sa_contig1	contig_8	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	1717459	1717942	sa_ill_sa_contig65	contig_8	99.07		True
fake: not a misassembly [fragmentation of reference genome]
56	720	1719725	1719061	sa_ill_sa_contig60	contig_8	98.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
124942	125486	1720270	1719726	sa_ill_sa_contig10	contig_8	93.17		True
translocation
1	63338	1720271	1783613	sa_ill_sa_contig13	contig_8	99.74		True
local misassembly
63108	66060	1783614	1786570	sa_ill_sa_contig13	contig_8	99.41		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	41771	1828373	1786571	sa_ill_sa_contig19	contig_8	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	177172	1828562	2005801	sa_ill_sa_contig4	contig_8	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
21	50729	2005802	2056548	sa_ill_sa_contig16	contig_8	99.81		True
fake: not a misassembly [fragmentation of reference genome]
78271	134302	2112637	2056611	sa_ill_sa_contig7	contig_8	99.79		True
local misassembly
1	78138	2190695	2112638	sa_ill_sa_contig7	contig_8	99.68		True
fake: not a misassembly [fragmentation of reference genome]
55	207093	2397679	2190708	sa_ill_sa_contig3	contig_8	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	211909	2609648	2397680	sa_ill_sa_contig2	contig_8	99.85		True
fake: not a misassembly [fragmentation of reference genome]
