S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
62389	62604	1	216	sa_ill_sa_contig14	contig_45	100.0		True
local misassembly
62396	62502	266	372	sa_ill_sa_contig14	contig_45	98.6		True
translocation
203	3323	373	3495	sa_ill_sa_contig41	contig_45	99.52		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	3914	5513	sa_ill_sa_contig8	contig_45	99.24		True
translocation
19	34443	39952	5514	sa_ill_sa_contig24	contig_45	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	78749	39953	sa_ill_sa_contig22	contig_45	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	78750	79282	sa_ill_sa_contig63	contig_45	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	113654	79283	sa_ill_sa_contig25	contig_45	99.81		True
translocation
203	3323	113819	116941	sa_ill_sa_contig41	contig_45	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	117313	249338	sa_ill_sa_contig8	contig_45	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	249680	399181	sa_ill_sa_contig5	contig_45	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	399227	430140	sa_ill_sa_contig27	contig_45	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	430141	430947	sa_ill_sa_contig53	contig_45	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	433986	431066	sa_ill_sa_contig43	contig_45	99.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	447687	433987	sa_ill_sa_contig35	contig_45	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	448419	574140	sa_ill_sa_contig10	contig_45	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	574141	574805	sa_ill_sa_contig60	contig_45	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	576408	575925	sa_ill_sa_contig65	contig_45	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	597256	576409	sa_ill_sa_contig32	contig_45	99.82		True
translocation
1	130429	727617	597257	sa_ill_sa_contig9	contig_45	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	727618	732201	sa_ill_sa_contig40	contig_45	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	732202	737523	sa_ill_sa_contig38	contig_45	99.83		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	742108	737524	sa_ill_sa_contig40	contig_45	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	768298	742109	sa_ill_sa_contig29	contig_45	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	857	768664	769521	sa_ill_sa_contig54	contig_45	99.88		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	771724	770051	sa_ill_sa_contig46	contig_45	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	771725	815251	sa_ill_sa_contig18	contig_45	99.38		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	815784	815252	sa_ill_sa_contig63	contig_45	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	815785	958727	sa_ill_sa_contig6	contig_45	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	958881	979936	sa_ill_sa_contig31	contig_45	99.9		True
translocation
98057	98213	979937	980093	sa_ill_sa_contig11	contig_45	98.58		True
local misassembly
98340	98561	980094	980315	sa_ill_sa_contig11	contig_45	98.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1006913	980316	sa_ill_sa_contig12	contig_45	99.3		True
local misassembly
46	44268	1051149	1006914	sa_ill_sa_contig12	contig_45	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1051150	1101874	sa_ill_sa_contig17	contig_45	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1101875	1106871	sa_ill_sa_contig39	contig_45	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1106872	1121233	sa_ill_sa_contig33	contig_45	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1121945	1121234	sa_ill_sa_contig55	contig_45	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
