All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
# misassemblies                                 168                  170                  169                  171            168            171            171                   168                   170                   169                   171                   170                   174                  168                  175                  170                  173                  171                  173             172             174           
  # contig misassemblies                        168                  170                  169                  171            168            171            171                   168                   170                   169                   171                   170                   174                  168                  175                  170                  173                  171                  173             172             174           
    # c. relocations                            4                    5                    4                    6              5              6              4                     5                     4                     5                     6                     5                     4                    5                    4                    5                    6                    5                    5               6               5             
    # c. translocations                         162                  163                  163                  163            161            163            165                   161                   164                   162                   163                   163                   168                  161                  169                  163                  165                  164                  164             162             165           
    # c. inversions                             2                    2                    2                    2              2              2              2                     2                     2                     2                     2                     2                     2                    2                    2                    2                    2                    2                    2               2               2             
    # c. interspecies translocations            0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    2               2               2             
  # scaffold misassemblies                      0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. relocations                            0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. translocations                         0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. inversions                             0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. interspecies translocations            0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# misassembled contigs                          8                    8                    8                    8              8              8              8                     8                     8                     8                     8                     8                     8                    8                    8                    8                    8                    8                    8               8               8             
Misassembled contigs length                     30861647             30864927             30862476             30867341       30868189       30867430       30864833              30867104              30865019              30857195              30860390              30858038              30851337             30856276             30850927             30846769             30852342             30844210             30847938        30850309        30849039      
# possibly misassembled contigs                 7                    7                    7                    7              7              7              7                     7                     7                     7                     7                     7                     7                    7                    7                    7                    7                    7                    8               8               8             
    # possible misassemblies                    98                   96                   98                   98             98             98             96                    96                    98                    102                   96                    98                    96                   100                  92                   96                   92                   96                   169             166             177           
# local misassemblies                           120                  114                  118                  116            115            116            129                   129                   127                   140                   131                   137                   154                  148                  154                  141                  135                  147                  211             210             220           
# scaffold gap ext. mis.                        0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# scaffold gap loc. mis.                        0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# misassemblies caused by fragmented reference  251                  252                  251                  252            253            252            250                   251                   250                   253                   252                   252                   248                  247                  248                  251                  247                  249                  178             181             173           
# unaligned mis. contigs                        0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# mismatches                                    50998                50343                50872                53517          52607          53047          54237                 53891                 54207                 52863                 52524                 53072                 53742                53116                53486                53957                53365                54197                81762           82733           82635         
# indels                                        7405                 6480                 6655                 11727          11621          11720          8054                  8154                  8236                  7955                  7922                  8124                  18811                18769                18781                17543                17759                17328                92537           93619           92935         
    # indels (<= 5 bp)                          6722                 5834                 6000                 11073          10974          11072          7462                  7549                  7643                  7361                  7320                  7533                  18181                18102                18154                16910                17101                16687                91315           92409           91728         
    # indels (> 5 bp)                           683                  646                  655                  654            647            648            592                   605                   593                   594                   602                   591                   630                  667                  627                  633                  658                  641                  1222            1210            1207          
Indels length                                   42042                40462                40455                46191          45867          45751          40692                 41364                 41072                 40540                 40765                 40643                 55906                56587                55359                53952                55510                53006                155914          158186          156087        
