Assembly	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
# misassemblies	170	167	167	171	167	174	177	170	168	170	173	169	176	173	170	168	170	172	173	177	174
  # contig misassemblies	170	167	167	171	167	174	177	170	168	170	173	169	176	173	170	168	170	172	173	177	174
    # c. relocations	6	4	4	6	4	7	5	6	4	4	8	4	7	5	6	4	4	6	4	6	5
    # c. translocations	162	161	161	163	161	165	168	162	162	164	163	163	167	164	162	162	164	164	167	169	165
    # c. inversions	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
    # c. interspecies translocations	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. interspecies translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Misassembled contigs length	30866945	30862930	30864385	30856589	30852831	30845731	30850202	30866877	30861522	30864168	30854493	30852705	30846555	30849057	30867413	30861841	30864447	30857058	30851941	30847715	30849244
# possibly misassembled contigs	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
    # possible misassemblies	98	98	96	98	98	96	176	98	100	94	98	96	90	166	98	100	94	100	94	90	164
# local misassemblies	118	121	134	137	150	146	212	116	119	130	133	146	139	206	116	120	124	133	151	136	208
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	252	253	252	253	250	250	167	252	253	252	250	252	249	180	252	252	250	252	249	248	179
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# mismatches	53380	50955	53449	53444	53526	54601	82537	53460	51084	53219	53307	54247	54717	83311	53232	50720	54322	52656	54034	53847	81885
# indels	11634	6982	8051	7965	18500	17699	92934	11689	7167	8112	7952	18635	17676	93558	11659	7114	8308	7898	18633	17704	93337
    # indels (<= 5 bp)	11006	6350	7459	7369	17838	17061	91725	11039	6510	7524	7340	17979	17028	92326	11000	6450	7711	7293	17991	17070	92118
    # indels (> 5 bp)	628	632	592	596	662	638	1209	650	657	588	612	656	648	1232	659	664	597	605	642	634	1219
Indels length	45124	40531	40402	40439	56495	54236	156187	45757	41214	40747	41243	56720	55192	157955	46144	41574	41371	40982	56314	54059	158411
