All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_1bin_v3_1_MP  r10_1bin_v3_1_MP_helen  r10_1bin_v3_1_r1_medaka  r10_1bin_v3_1_r2_medaka  r10_1bin_v3_1_racon_r1  r10_1bin_v3_1_racon_r2  r10_1bin_v3_1_raw  r10_1bin_v3_2_MP  r10_1bin_v3_2_MP_helen  r10_1bin_v3_2_r1_medaka  r10_1bin_v3_2_r2_medaka  r10_1bin_v3_2_racon_r1  r10_1bin_v3_2_racon_r2  r10_1bin_v3_2_raw  r10_1bin_v3_3_MP  r10_1bin_v3_3_MP_helen  r10_1bin_v3_3_r1_medaka  r10_1bin_v3_3_r2_medaka  r10_1bin_v3_3_racon_r1  r10_1bin_v3_3_racon_r2  r10_1bin_v3_3_raw
# misassemblies                                 2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                
  # contig misassemblies                        2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                
    # c. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # c. translocations                         2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                
    # c. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
  # scaffold misassemblies                      0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. translocations                         0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassembled contigs                          1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length                     2992085           2992067                 2992074                  2992074                  2991917                 2991951                 2990633            2992084           2992067                 2992184                  2992173                  2991893                 2991931                 2990628            2992084           2992068                 2992178                  2992176                  2991922                 2991951                 2990626          
# possibly misassembled contigs                 1                 1                       1                        1                        1                       1                       2                  1                 1                       1                        1                        1                       1                       2                  1                 1                       1                        1                        1                       1                       2                
    # possible misassemblies                    8                 8                       8                        8                        8                       8                       9                  8                 8                       8                        8                        8                       8                       9                  8                 8                       8                        8                        8                       8                       9                
# local misassemblies                           7                 7                       7                        7                        7                       7                       14                 7                 7                       7                        7                        7                       7                       12                 7                 7                       7                        7                        7                       7                       12               
# scaffold gap ext. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassemblies caused by fragmented reference  16                16                      16                       16                       16                      16                      10                 16                16                      16                       16                       16                      16                      11                 16                16                      16                       16                       16                      16                      11               
# unaligned mis. contigs                        6                 6                       6                        6                        6                       6                       7                  6                 6                       6                        6                        6                       6                       7                  6                 6                       6                        6                        6                       6                       7                
# mismatches                                    6827              7004                    6845                     6705                     6742                    6791                    4381               6765              6966                    6762                     6660                     6771                    6863                    4169               6756              6956                    6699                     6596                     6814                    6861                    4135             
# indels                                        653               662                     662                      637                      944                     879                     3432               630               642                     777                      757                      943                     876                     3419               630               644                     774                      750                      992                     871                     3424             
    # indels (<= 5 bp)                          629               637                     637                      613                      919                     855                     3405               607               618                     752                      732                      918                     851                     3390               607               620                     749                      726                      966                     847                     3395             
    # indels (> 5 bp)                           24                25                      25                       24                       25                      24                      27                 23                24                      25                       25                       25                      25                      29                 23                24                      25                       24                       26                      24                      29               
Indels length                                   1955              1971                    1978                     1928                     2356                    2238                    5280               1920              1937                    2098                     2073                     2348                    2232                    5300               1920              1939                    2094                     2044                     2438                    2231                    5318             
