Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
# misassemblies	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
  # contig misassemblies	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2992083	2992068	2992071	2992074	2991898	2991964	2990667	2992084	2992066	2992071	2992072	2991914	2991953	2990633	2992084	2992066	2992071	2992073	2991916	2991960	2990633
# possibly misassembled contigs	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2
    # possible misassemblies	8	8	8	8	8	8	9	8	8	8	8	8	8	9	8	8	8	8	8	8	9
# local misassemblies	7	7	7	7	7	7	14	7	7	7	7	7	7	14	7	7	7	7	7	7	12
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	16	16	16	16	16	16	10	16	16	16	16	16	16	10	16	16	16	16	16	16	11
# unaligned mis. contigs	6	6	6	6	6	6	7	6	6	6	6	6	6	7	6	6	6	6	6	6	7
# mismatches	6775	6964	6935	6908	6819	6913	4239	6755	6961	6935	6906	6704	6836	4262	6824	6999	6838	6677	6635	6760	4426
# indels	648	660	660	654	941	897	3451	631	642	663	660	932	898	3443	656	664	659	640	917	891	3424
    # indels (<= 5 bp)	624	635	635	629	916	871	3423	608	618	638	635	907	872	3416	632	639	634	616	892	867	3396
    # indels (> 5 bp)	24	25	25	25	25	26	28	23	24	25	25	25	26	27	24	25	25	24	25	24	28
Indels length	1954	1971	1976	1969	2352	2288	5317	1921	1937	1979	1975	2340	2301	5295	1964	1977	1976	1931	2315	2248	5313
