Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# contigs (>= 5000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 10000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 25000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 50000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Total length (>= 5000 bp)	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	24062559	24061175	24061500
Total length (>= 10000 bp)	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	24062559	24061175	24061500
Total length (>= 25000 bp)	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	24062559	24061175	24061500
Total length (>= 50000 bp)	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	24062559	24061175	24061500
# contigs	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Largest contig	4765293	4765903	4765296	4765362	4766035	4765940	4765290	4765413	4765355	4765312	4765387	4765372	4764581	4764920	4764661	4764695	4764766	4764706	4763429	4763874	4763424
Total length	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	24062559	24061175	24061500
Reference length	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294	2820294
GC (%)	44.81	44.80	44.81	44.80	44.80	44.80	44.80	44.80	44.80	44.80	44.80	44.80	44.79	44.79	44.79	44.79	44.78	44.79	44.77	44.77	44.77
Reference GC (%)	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44	37.44
N50	4045616	4045633	4045623	4045594	4045600	4045599	4045600	4045603	4045599	4045597	4045604	4045600	4045299	4045286	4045284	4045354	4045343	4045342	4043031	4042943	4042477
NG50	4765293	4765903	4765296	4765362	4766035	4765940	4765290	4765413	4765355	4765312	4765387	4765372	4764581	4764920	4764661	4764695	4764766	4764706	4763429	4763874	4763424
N75	2845381	2845365	2845381	2845424	2845426	2845425	2845435	2845435	2845432	2845432	2845433	2845433	2845317	2845303	2845316	2845298	2845330	2845342	2843358	2843843	2843366
NG75	4765293	4765903	4765296	4765362	4766035	4765940	4765290	4765413	4765355	4765312	4765387	4765372	4764581	4764920	4764661	4764695	4764766	4764706	4763429	4763874	4763424
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2845381	2845365	2845381	2845424	2845426	2845425	2845435	2845435	2845432	2845432	2845433	2845433	2845317	2845303	2845316	2845298	2845330	2845342	2843358	2843843	2843366
# local misassemblies	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	21	20	21
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	5	6
