All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_8bins_1_MP  r10_8bins_1_MP_helen  r10_8bins_1_r1_medaka  r10_8bins_1_r2_medaka  r10_8bins_1_racon_r1  r10_8bins_1_racon_r2  r10_8bins_1_raw  r10_8bins_2_MP  r10_8bins_2_MP_helen  r10_8bins_2_r1_medaka  r10_8bins_2_r2_medaka  r10_8bins_2_racon_r1  r10_8bins_2_racon_r2  r10_8bins_2_raw  r10_8bins_3_MP  r10_8bins_3_MP_helen  r10_8bins_3_r1_medaka  r10_8bins_3_r2_medaka  r10_8bins_3_racon_r1  r10_8bins_3_racon_r2  r10_8bins_3_raw
# misassemblies                                 21              21                    21                     21                     21                    21                    19               21              21                    21                     21                     21                    21                    19               21              21                    21                     21                     21                    21                    19             
  # contig misassemblies                        21              21                    21                     21                     21                    21                    19               21              21                    21                     21                     21                    21                    19               21              21                    21                     21                     21                    21                    19             
    # c. relocations                            1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # c. translocations                         20              20                    20                     20                     20                    20                    18               20              20                    20                     20                     20                    20                    18               20              20                    20                     20                     20                    20                    18             
    # c. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
  # scaffold misassemblies                      0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. translocations                         0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassembled contigs                          1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length                     4765396         4765339               4765361                4765365                4764689               4764726               4763575          4765403         4765334               4765359                4765364                4764683               4764682               4763493          4765471         4765411               4765372                4765365                4764770               4764744               4763941        
# possibly misassembled contigs                 1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # possible misassemblies                    12              12                    12                     12                     12                    12                    32               12              12                    12                     12                     12                    12                    34               12              12                    12                     12                     12                    12                    28             
# local misassemblies                           36              36                    36                     36                     36                    36                    57               37              36                    37                     37                     36                    36                    60               36              36                    36                     36                     37                    36                    50             
# scaffold gap ext. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassemblies caused by fragmented reference  42              42                    42                     42                     42                    42                    36               42              42                    42                     42                     42                    42                    35               42              42                    42                     42                     42                    42                    38             
# unaligned mis. contigs                        6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     6              
# mismatches                                    20581           20560                 20674                  20656                  20842                 20885                 23065            20569           20547                 20708                  20689                  21041                 21005                 22658            20365           20246                 20673                  20654                  20567                 21016                 22337          
# indels                                        969             836                   705                    687                    1667                  1552                  10839            972             847                   709                    702                    1665                  1549                  11072            956             784                   742                    738                    1745                  1565                  10974          
    # indels (<= 5 bp)                          872             738                   609                    591                    1570                  1455                  10646            874             748                   613                    606                    1567                  1452                  10871            853             686                   644                    641                    1647                  1467                  10777          
    # indels (> 5 bp)                           97              98                    96                     96                     97                    97                    193              98              99                    96                     96                     98                    97                    201              103             98                    98                     97                     98                    98                    197            
Indels length                                   6164            6059                  5874                   5855                   7020                  6871                  19825            6132            6146                  5833                   5831                   7060                  6915                  20402            6284            6066                  6014                   5975                   7134                  6973                  20473          
