All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_1bin_v2_1_MP  r10_1bin_v2_1_MP_helen  r10_1bin_v2_1_r1_medaka  r10_1bin_v2_1_r2_medaka  r10_1bin_v2_1_racon_r1  r10_1bin_v2_1_racon_r2  r10_1bin_v2_1_raw  r10_1bin_v2_2_MP  r10_1bin_v2_2_MP_helen  r10_1bin_v2_2_r1_medaka  r10_1bin_v2_2_r2_medaka  r10_1bin_v2_2_racon_r1  r10_1bin_v2_2_racon_r2  r10_1bin_v2_2_raw  r10_1bin_v2_3_MP  r10_1bin_v2_3_MP_helen  r10_1bin_v2_3_r1_medaka  r10_1bin_v2_3_r2_medaka  r10_1bin_v2_3_racon_r1  r10_1bin_v2_3_racon_r2  r10_1bin_v2_3_raw
# misassemblies                                 34                34                      34                       34                       34                      34                      31                 34                34                      34                       34                       34                      34                      32                 33                33                      33                       33                       33                      33                      30               
  # contig misassemblies                        34                34                      34                       34                       34                      34                      31                 34                34                      34                       34                       34                      34                      32                 33                33                      33                       33                       33                      33                      30               
    # c. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # c. translocations                         34                34                      34                       34                       34                      34                      31                 34                34                      34                       34                       34                      34                      32                 33                33                      33                       33                       33                      33                      30               
    # c. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
  # scaffold misassemblies                      0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. translocations                         0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassembled contigs                          1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length                     4045598           4045624                 4045593                  4045588                  4045161                 4045292                 4043043            4045604           4045480                 4045604                  4045608                  4045229                 4045315                 4042940            4045596           4045614                 4045597                  4045593                  4045228                 4045344                 4043027          
# possibly misassembled contigs                 1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
    # possible misassemblies                    10                10                      10                       10                       10                      10                      13                 10                10                      10                       10                       10                      10                      11                 10                10                      10                       10                       10                      10                      9                
# local misassemblies                           13                13                      13                       13                       13                      13                      19                 13                13                      13                       13                       13                      14                      17                 13                13                      13                       13                       13                      13                      16               
# scaffold gap ext. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassemblies caused by fragmented reference  49                49                      49                       49                       49                      49                      30                 49                49                      49                       49                       49                      48                      32                 49                49                      49                       49                       48                      48                      31               
# unaligned mis. contigs                        6                 6                       6                        6                        6                       6                       5                  6                 6                       6                        6                        6                       6                       5                  6                 6                       6                        6                        6                       6                       5                
# mismatches                                    3890              3751                    3828                     3816                     3918                    3910                    3544               3906              3835                    3805                     3822                     3970                    3961                    3434               3874              3810                    3869                     3814                     3872                    3880                    3251             
# indels                                        449               440                     416                      420                      956                     816                     4173               450               506                     417                      412                      932                     811                     4129               446               449                     424                      417                      916                     812                     4153             
    # indels (<= 5 bp)                          400               392                     367                      371                      906                     767                     4112               399               448                     369                      364                      882                     763                     4072               397               400                     375                      369                      866                     762                     4094             
    # indels (> 5 bp)                           49                48                      49                       49                       50                      49                      61                 51                58                      48                       48                       50                      48                      57                 49                49                      49                       48                       50                      50                      59               
Indels length                                   2591              2571                    2552                     2556                     3197                    3038                    7351               2608              2760                    2537                     2532                     3176                    3006                    7216               2581              2595                    2559                     2536                     3185                    3029                    7240             
