All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_1bin_v2_1_MP  r10_1bin_v2_1_MP_helen  r10_1bin_v2_1_r1_medaka  r10_1bin_v2_1_r2_medaka  r10_1bin_v2_1_racon_r1  r10_1bin_v2_1_racon_r2  r10_1bin_v2_1_raw  r10_1bin_v2_2_MP  r10_1bin_v2_2_MP_helen  r10_1bin_v2_2_r1_medaka  r10_1bin_v2_2_r2_medaka  r10_1bin_v2_2_racon_r1  r10_1bin_v2_2_racon_r2  r10_1bin_v2_2_raw  r10_1bin_v2_3_MP  r10_1bin_v2_3_MP_helen  r10_1bin_v2_3_r1_medaka  r10_1bin_v2_3_r2_medaka  r10_1bin_v2_3_racon_r1  r10_1bin_v2_3_racon_r2  r10_1bin_v2_3_raw
# misassemblies                                 74                73                      76                       78                       80                      79                      77                 74                73                      74                       81                       75                      82                      75                 74                75                      74                       79                       74                      80                      78               
  # contig misassemblies                        74                73                      76                       78                       80                      79                      77                 74                73                      74                       81                       75                      82                      75                 74                75                      74                       79                       74                      80                      78               
    # c. relocations                            4                 3                       3                        5                        3                       5                       4                  4                 3                       3                        8                        3                       8                       4                  4                 4                       4                        6                        4                       4                       5                
    # c. translocations                         70                70                      73                       73                       77                      74                      73                 70                70                      71                       73                       72                      74                      71                 70                71                      70                       73                       70                      76                      73               
    # c. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
  # scaffold misassemblies                      0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. translocations                         0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassembled contigs                          1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length                     1947358           1945184                 1945421                  1938102                  1934600                 1930264                 1945410            1947367           1945631                 1945233                  1934696                  1934507                 1926766                 1945527            1948617           1947910                 1948308                  1943446                  1939324                 1934869                 1947491          
# possibly misassembled contigs                 1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
    # possible misassemblies                    36                40                      32                       36                       32                      30                      46                 36                36                      34                       36                       36                      32                      44                 34                36                      34                       32                       36                      30                      46               
# local misassemblies                           11                15                      23                       26                       47                      32                      33                 11                15                      31                       26                       43                      39                      30                 12                12                      19                       22                       39                      37                      32               
# scaffold gap ext. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassemblies caused by fragmented reference  66                64                      63                       65                       61                      61                      40                 66                66                      65                       65                       63                      63                      41                 66                65                      66                       66                       64                      60                      40               
# unaligned mis. contigs                        6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                
# mismatches                                    4831              4737                    5643                     5107                     4929                    4876                    6512               4844              4819                    5346                     5122                     4922                    4839                    6629               4754              4723                    5490                     5319                     4855                    4864                    6599             
# indels                                        215               252                     292                      245                      1022                    999                     6310               214               191                     253                      207                      1051                    958                     6371               208               221                     250                      263                      1097                    966                     6312             
    # indels (<= 5 bp)                          164               195                     244                      188                      957                     922                     6208               164               138                     200                      159                      979                     891                     6269               160               174                     198                      212                      1016                    892                     6220             
    # indels (> 5 bp)                           51                57                      48                       57                       65                      77                      102                50                53                      53                       48                       72                      67                      102                48                47                      52                       51                       81                      74                      92               
Indels length                                   2740              2924                    2806                     2900                     4511                    4912                    11185              2727              2614                    2782                     2651                     4864                    4446                    11243              2590              2573                    2698                     2627                     5251                    4737                    11172            
