Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# misassemblies	170	168	169	171	169	173	173	167	168	168	172	169	172	171	168	168	169	172	173	173	175
  # contig misassemblies	170	168	169	171	169	173	173	167	168	168	172	169	172	171	168	168	169	172	173	173	175
    # c. relocations	6	4	4	6	4	6	5	4	4	4	7	4	7	5	5	4	4	6	4	6	5
    # c. translocations	162	162	163	163	163	165	164	161	162	162	163	163	163	162	161	162	163	164	167	165	166
    # c. inversions	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
    # c. interspecies translocations	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. interspecies translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Misassembled contigs length	30866736	30862385	30864454	30856532	30852547	30847337	30849498	30866510	30862392	30864952	30853556	30851814	30847462	30848967	30867262	30860948	30864440	30857304	30851650	30848018	30849309
# possibly misassembled contigs	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
    # possible misassemblies	98	100	96	98	96	92	168	100	98	94	96	96	96	166	100	100	94	96	94	94	170
# local misassemblies	115	119	133	137	148	147	209	116	118	132	130	147	141	206	117	120	133	131	152	140	212
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	252	252	251	252	252	250	174	253	253	252	251	250	250	174	253	251	250	252	249	251	175
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# mismatches	52883	51020	53809	53190	53757	54127	82862	53400	51000	53734	53403	54087	54878	82708	53472	51004	54270	53389	53770	54039	83998
# indels	11557	7162	8065	7978	20066	18503	94305	11544	7216	8001	7886	20095	18406	93702	11655	7266	8113	8041	20144	19061	94925
    # indels (<= 5 bp)	10904	6491	7469	7378	19413	17870	93076	10884	6560	7403	7286	19439	17764	92454	11005	6592	7522	7439	19490	18413	93689
    # indels (> 5 bp)	653	671	596	600	653	633	1229	660	656	598	600	656	642	1248	650	674	591	602	654	648	1236
Indels length	45878	41359	40658	40732	57723	54293	158982	45985	41304	40822	40613	58002	54332	158809	45839	41681	40727	40812	57709	56081	160267
