All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        MP_helen_r10_1  MP_helen_r10_2  MP_helen_r10_3  MP_r10_1  MP_r10_2  MP_r10_3  r1_medaka_r10_1  r1_medaka_r10_2  r1_medaka_r10_3  r2_medaka_r10_1  r2_medaka_r10_2  r2_medaka_r10_3  racon_r1_r10_1  racon_r1_r10_2  racon_r1_r10_3  racon_r2_r10_1  racon_r2_r10_2  racon_r2_r10_3  raw_r10_1  raw_r10_2  raw_r10_3
# misassemblies                                 1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               1          1          1        
  # contig misassemblies                        1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               1          1          1        
    # c. relocations                            0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # c. translocations                         1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               1          1          1        
    # c. inversions                             0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
  # scaffold misassemblies                      0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # s. relocations                            0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # s. translocations                         0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # s. inversions                             0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
# misassembled contigs                          1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               1          1          1        
Misassembled contigs length                     2845381         2845365         2845381         2845424   2845426   2845425   2845435          2845435          2845432          2845432          2845433          2845433          2845317         2845303         2845316         2845298         2845330         2845342         2843358    2843843    2843366  
# possibly misassembled contigs                 0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               1          1          1        
    # possible misassemblies                    0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               6          6          6        
# local misassemblies                           16              16              16              16        16        16        16               16               16               16               16               16               16              16              16              16              16              16              21         20         21       
# scaffold gap ext. mis.                        0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
# scaffold gap loc. mis.                        0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
# misassemblies caused by fragmented reference  19              19              19              19        19        19        19               19               19               19               19               19               19              19              19              19              19              19              10         11         11       
# unaligned mis. contigs                        6               6               6               6         6         6         6                6                6                6                6                6                5               6               6               6               6               6               6          5          6        
# mismatches                                    7023            7043            6971            6993      7009      6996      7037             7010             7074             7099             7068             7099             6596            6612            6777            7047            7011            6988            4283       4271       4219     
# indels                                        421             444             424             438       437       440       403              397              399              398              383              406              589             608             621             625             647             623             3594       3536       3568     
    # indels (<= 5 bp)                          381             403             384             398       397       400       363              357              359              358              344              366              552             571             585             588             609             585             3557       3502       3532     
    # indels (> 5 bp)                           40              41              40              40        40        40        40               40               40               40               39               40               37              37              36              37              38              38              37         34         36       
Indels length                                   2381            2417            2385            2399      2398      2401      2333             2313             2328             2327             2296             2341             2512            2525            2564            2598            2620            2570            6231       6061       6103     
