Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# misassemblies	6	6	6	8	8	8	6	6	6	6	6	6	6	6	6	6	6	6	10	10	10
  # contig misassemblies	6	6	6	8	8	8	6	6	6	6	6	6	6	6	6	6	6	6	10	10	10
    # c. relocations	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	6	6	6	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	10	10	10
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	6792182	6792182	6792182	6792248	6792248	6792248	6792245	6792245	6792245	6792246	6792246	6792246	6791651	6791651	6791651	6791761	6791761	6791761	6788581	6788581	6788581
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	18	18	18	16	16	16	18	18	18	18	18	18	18	18	18	18	18	18	34	34	34
# local misassemblies	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	12	12	12	25	25	25
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	21	21	21	20	20	20	21	21	21	21	21	21	21	21	21	21	21	21	16	16	16
# unaligned mis. contigs	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# mismatches	3712	3724	3724	3906	3925	3906	3719	3747	3746	3718	3751	3718	3922	3916	3879	3830	3840	3859	4349	4427	4347
# indels	339	339	339	367	367	367	243	242	242	237	237	237	899	897	897	783	783	786	6526	6520	6532
    # indels (<= 5 bp)	242	242	242	272	272	272	149	148	148	143	143	143	804	802	802	687	687	690	6403	6397	6409
    # indels (> 5 bp)	97	97	97	95	95	95	94	94	94	94	94	94	95	95	95	96	96	96	123	123	123
Indels length	5401	5401	5401	5401	5401	5401	5260	5259	5259	5254	5254	5254	6017	6014	6014	5894	5894	5897	12915	12907	12927
