S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_98	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_98	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2999	2516	sa_ill_sa_contig65	contig_98	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226434	3000	sa_ill_sa_contig1	contig_98	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226435	227764	sa_ill_sa_contig48	contig_98	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326398	227765	sa_ill_sa_contig11	contig_98	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326399	333479	sa_ill_sa_contig36	contig_98	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355284	333480	sa_ill_sa_contig30	contig_98	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355285	355996	sa_ill_sa_contig55	contig_98	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370206	355997	sa_ill_sa_contig34	contig_98	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370360	403346	sa_ill_sa_contig26	contig_98	99.83		True
local misassembly [fragmentation of reference genome]
2	925	403551	404469	sa_ill_sa_contig51	contig_98	97.95		True
translocation
198	3323	405024	408150	sa_ill_sa_contig41	contig_98	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408572	410172	sa_ill_sa_contig8	contig_98	99.41		True
translocation
1	28120	410173	438297	sa_ill_sa_contig28	contig_98	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438302	478053	sa_ill_sa_contig21	contig_98	99.89		True
local misassembly [fragmentation of reference genome]
98092	98471	478432	478054	sa_ill_sa_contig11	contig_98	97.97		True
translocation
1	62604	478433	540862	sa_ill_sa_contig14	contig_98	99.55		True
local misassembly
62396	62502	540912	541018	sa_ill_sa_contig14	contig_98	98.6		True
translocation
203	3323	541019	544136	sa_ill_sa_contig41	contig_98	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544554	546149	sa_ill_sa_contig8	contig_98	99.24		True
translocation
19	34443	580593	546150	sa_ill_sa_contig24	contig_98	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619372	580594	sa_ill_sa_contig22	contig_98	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619373	619905	sa_ill_sa_contig63	contig_98	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654276	619906	sa_ill_sa_contig25	contig_98	99.81		True
translocation
203	3323	654441	657558	sa_ill_sa_contig41	contig_98	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657930	789966	sa_ill_sa_contig8	contig_98	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790308	939829	sa_ill_sa_contig5	contig_98	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939875	970779	sa_ill_sa_contig27	contig_98	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970780	971586	sa_ill_sa_contig53	contig_98	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974621	971705	sa_ill_sa_contig43	contig_98	99.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988328	974622	sa_ill_sa_contig35	contig_98	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989060	1114778	sa_ill_sa_contig10	contig_98	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114779	1115443	sa_ill_sa_contig60	contig_98	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117046	1116563	sa_ill_sa_contig65	contig_98	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137889	1117047	sa_ill_sa_contig32	contig_98	99.83		True
translocation
1	130429	1268269	1137890	sa_ill_sa_contig9	contig_98	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268270	1272854	sa_ill_sa_contig40	contig_98	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272855	1278176	sa_ill_sa_contig38	contig_98	99.83		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1282761	1278177	sa_ill_sa_contig40	contig_98	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1308948	1282762	sa_ill_sa_contig29	contig_98	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309314	1310170	sa_ill_sa_contig54	contig_98	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312373	1310700	sa_ill_sa_contig46	contig_98	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
