S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_101	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_101	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2999	2516	sa_ill_sa_contig65	contig_101	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226434	3000	sa_ill_sa_contig1	contig_101	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226435	227764	sa_ill_sa_contig48	contig_101	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326398	227765	sa_ill_sa_contig11	contig_101	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326399	333479	sa_ill_sa_contig36	contig_101	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355284	333480	sa_ill_sa_contig30	contig_101	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355285	355996	sa_ill_sa_contig55	contig_101	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370206	355997	sa_ill_sa_contig34	contig_101	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370360	403346	sa_ill_sa_contig26	contig_101	99.83		True
local misassembly [fragmentation of reference genome]
2	925	403551	404469	sa_ill_sa_contig51	contig_101	97.95		True
translocation
198	3323	405024	408150	sa_ill_sa_contig41	contig_101	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408572	410172	sa_ill_sa_contig8	contig_101	99.41		True
translocation
1	28120	410173	438297	sa_ill_sa_contig28	contig_101	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438302	478053	sa_ill_sa_contig21	contig_101	99.89		True
local misassembly [fragmentation of reference genome]
98092	98471	478432	478054	sa_ill_sa_contig11	contig_101	97.97		True
translocation
1	62604	478433	540862	sa_ill_sa_contig14	contig_101	99.55		True
local misassembly
62396	62502	540912	541018	sa_ill_sa_contig14	contig_101	98.6		True
translocation
203	3323	541019	544136	sa_ill_sa_contig41	contig_101	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544554	546149	sa_ill_sa_contig8	contig_101	99.24		True
translocation
19	34443	580593	546150	sa_ill_sa_contig24	contig_101	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619372	580594	sa_ill_sa_contig22	contig_101	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619373	619905	sa_ill_sa_contig63	contig_101	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654276	619906	sa_ill_sa_contig25	contig_101	99.81		True
translocation
203	3323	654441	657558	sa_ill_sa_contig41	contig_101	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657930	789966	sa_ill_sa_contig8	contig_101	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790308	939827	sa_ill_sa_contig5	contig_101	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939873	970777	sa_ill_sa_contig27	contig_101	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970778	971584	sa_ill_sa_contig53	contig_101	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974620	971703	sa_ill_sa_contig43	contig_101	99.5		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988327	974621	sa_ill_sa_contig35	contig_101	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989059	1114775	sa_ill_sa_contig10	contig_101	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114776	1115440	sa_ill_sa_contig60	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117043	1116560	sa_ill_sa_contig65	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137886	1117044	sa_ill_sa_contig32	contig_101	99.83		True
translocation
1	130429	1268266	1137887	sa_ill_sa_contig9	contig_101	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268267	1272851	sa_ill_sa_contig40	contig_101	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272852	1278173	sa_ill_sa_contig38	contig_101	99.83		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1282758	1278174	sa_ill_sa_contig40	contig_101	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1308945	1282759	sa_ill_sa_contig29	contig_101	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309311	1310167	sa_ill_sa_contig54	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312370	1310697	sa_ill_sa_contig46	contig_101	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1312371	1355899	sa_ill_sa_contig18	contig_101	99.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1356432	1355900	sa_ill_sa_contig63	contig_101	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1356433	1499360	sa_ill_sa_contig6	contig_101	99.8		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1499514	1520563	sa_ill_sa_contig31	contig_101	99.9		True
translocation
98057	98213	1520564	1520720	sa_ill_sa_contig11	contig_101	98.58		True
local misassembly
98340	98561	1520721	1520942	sa_ill_sa_contig11	contig_101	98.02		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1547551	1520943	sa_ill_sa_contig12	contig_101	99.29		True
local misassembly
46	44268	1591791	1547552	sa_ill_sa_contig12	contig_101	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1591792	1642511	sa_ill_sa_contig17	contig_101	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1642512	1647508	sa_ill_sa_contig39	contig_101	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1647509	1661878	sa_ill_sa_contig33	contig_101	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1662590	1661879	sa_ill_sa_contig55	contig_101	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1669280	1662591	sa_ill_sa_contig37	contig_101	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1669306	1672144	sa_ill_sa_contig44	contig_101	99.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1576	1673718	1672145	sa_ill_sa_contig47	contig_101	99.75		True
fake: not a misassembly [fragmentation of reference genome]
1	41074	1714845	1673745	sa_ill_sa_contig20	contig_101	99.84		True
translocation
1	1649	1716495	1714846	sa_ill_sa_contig8	contig_101	99.65		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1720006	1716883	sa_ill_sa_contig41	contig_101	99.71		True
translocation
38161	38352	1720289	1720099	sa_ill_sa_contig23	contig_101	95.31		True
local misassembly
38187	38352	1720542	1720377	sa_ill_sa_contig23	contig_101	98.8		True
local misassembly
1	38352	1759009	1720635	sa_ill_sa_contig23	contig_101	99.85		True
fake: not a misassembly [fragmentation of reference genome]
688	925	1759402	1759150	sa_ill_sa_contig51	contig_101	94.07		True
translocation
1	1703	1761097	1759416	sa_ill_sa_contig8	contig_101	95.92		True
fake: not a misassembly [fragmentation of reference genome]
1	3323	1764753	1761427	sa_ill_sa_contig41	contig_101	99.64		True
translocation
1	1604	1766354	1764754	sa_ill_sa_contig8	contig_101	99.65		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1769774	1766651	sa_ill_sa_contig41	contig_101	99.68		True
translocation
55995	56123	1770078	1769951	sa_ill_sa_contig15	contig_101	98.45		True
local misassembly
1	56123	1826266	1770226	sa_ill_sa_contig15	contig_101	99.62		True
indel: indel (<= 5bp) [fragmentation of reference genome]
4	718	1826267	1826982	sa_ill_sa_contig58	contig_101	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3261	1830246	1826983	sa_ill_sa_contig42	contig_101	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	211909	1830446	2042433	sa_ill_sa_contig2	contig_101	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	207093	2042434	2249464	sa_ill_sa_contig3	contig_101	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	78138	2249477	2327537	sa_ill_sa_contig7	contig_101	99.69		True
local misassembly
78271	134302	2327538	2383565	sa_ill_sa_contig7	contig_101	99.8		True
fake: not a misassembly [fragmentation of reference genome]
21	50729	2434364	2383628	sa_ill_sa_contig16	contig_101	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	177172	2611603	2434365	sa_ill_sa_contig4	contig_101	99.83		True
fake: not a misassembly [fragmentation of reference genome]
