S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	3	734	sa_ill_sa_contig10	contig_100	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	735	1399	sa_ill_sa_contig60	contig_100	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3000	2517	sa_ill_sa_contig65	contig_100	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226414	3001	sa_ill_sa_contig1	contig_100	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226415	227745	sa_ill_sa_contig48	contig_100	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326370	227746	sa_ill_sa_contig11	contig_100	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326371	333452	sa_ill_sa_contig36	contig_100	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355254	333453	sa_ill_sa_contig30	contig_100	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355255	355966	sa_ill_sa_contig55	contig_100	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370179	355967	sa_ill_sa_contig34	contig_100	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370333	403310	sa_ill_sa_contig26	contig_100	99.82		True
local misassembly [fragmentation of reference genome]
2	925	403515	404434	sa_ill_sa_contig51	contig_100	97.85		True
translocation
198	3323	404987	408112	sa_ill_sa_contig41	contig_100	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408534	410138	sa_ill_sa_contig8	contig_100	99.53		True
translocation
1	28120	410139	438255	sa_ill_sa_contig28	contig_100	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438260	477996	sa_ill_sa_contig21	contig_100	99.88		True
local misassembly [fragmentation of reference genome]
98092	98471	478375	477997	sa_ill_sa_contig11	contig_100	97.97		True
translocation
1	62604	478376	540811	sa_ill_sa_contig14	contig_100	99.56		True
local misassembly
62396	62502	540861	540967	sa_ill_sa_contig14	contig_100	98.6		True
translocation
203	3323	540968	544085	sa_ill_sa_contig41	contig_100	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544503	546099	sa_ill_sa_contig8	contig_100	99.18		True
translocation
19	34443	580539	546100	sa_ill_sa_contig24	contig_100	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619336	580540	sa_ill_sa_contig22	contig_100	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619337	619869	sa_ill_sa_contig63	contig_100	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654241	619870	sa_ill_sa_contig25	contig_100	99.81		True
translocation
203	3323	654406	657528	sa_ill_sa_contig41	contig_100	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657900	789925	sa_ill_sa_contig8	contig_100	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790267	939767	sa_ill_sa_contig5	contig_100	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939813	970726	sa_ill_sa_contig27	contig_100	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970727	971533	sa_ill_sa_contig53	contig_100	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974569	971652	sa_ill_sa_contig43	contig_100	99.43		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988270	974570	sa_ill_sa_contig35	contig_100	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989002	1114722	sa_ill_sa_contig10	contig_100	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114723	1115387	sa_ill_sa_contig60	contig_100	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1116990	1116507	sa_ill_sa_contig65	contig_100	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137838	1116991	sa_ill_sa_contig32	contig_100	99.82		True
translocation
1	130429	1268199	1137839	sa_ill_sa_contig9	contig_100	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268200	1272783	sa_ill_sa_contig40	contig_100	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272784	1278105	sa_ill_sa_contig38	contig_100	99.83		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1282690	1278106	sa_ill_sa_contig40	contig_100	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1308880	1282691	sa_ill_sa_contig29	contig_100	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309246	1310103	sa_ill_sa_contig54	contig_100	99.88		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312306	1310633	sa_ill_sa_contig46	contig_100	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1312307	1355831	sa_ill_sa_contig18	contig_100	99.38		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1356364	1355832	sa_ill_sa_contig63	contig_100	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1356365	1499307	sa_ill_sa_contig6	contig_100	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1499461	1520516	sa_ill_sa_contig31	contig_100	99.9		True
translocation
