All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_1bin_v3_1_MP  r10_1bin_v3_1_MP_helen  r10_1bin_v3_1_r1_medaka  r10_1bin_v3_1_r2_medaka  r10_1bin_v3_1_racon_r1  r10_1bin_v3_1_racon_r2  r10_1bin_v3_1_raw  r10_1bin_v3_2_MP  r10_1bin_v3_2_MP_helen  r10_1bin_v3_2_r1_medaka  r10_1bin_v3_2_r2_medaka  r10_1bin_v3_2_racon_r1  r10_1bin_v3_2_racon_r2  r10_1bin_v3_2_raw  r10_1bin_v3_3_MP  r10_1bin_v3_3_MP_helen  r10_1bin_v3_3_r1_medaka  r10_1bin_v3_3_r2_medaka  r10_1bin_v3_3_racon_r1  r10_1bin_v3_3_racon_r2  r10_1bin_v3_3_raw
# misassemblies                                 169               168                     170                      171                      168                     174                     173                170               168                     170                      171                      169                     172                     175                170               171                     170                      172                      171                     174                     176              
  # contig misassemblies                        169               168                     170                      171                      168                     174                     173                170               168                     170                      171                      169                     172                     175                170               171                     170                      172                      171                     174                     175              
    # c. relocations                            5                 5                       4                        7                        4                       7                       5                  6                 4                       4                        7                        4                       7                       5                  6                 6                       5                        6                        5                       7                       6                
    # c. translocations                         162               161                     164                      162                      162                     165                     164                162               162                     164                      162                      163                     163                     166                162               163                     163                      164                      164                     165                     165              
    # c. inversions                             2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                
    # c. interspecies translocations            0                 0                       0                        0                        0                       0                       2                  0                 0                       0                        0                        0                       0                       2                  0                 0                       0                        0                        0                       0                       2                
  # scaffold misassemblies                      0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       1                
    # s. relocations                            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. translocations                         0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       1                
    # s. inversions                             0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
    # s. interspecies translocations            0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassembled contigs                          8                 8                       8                        8                        8                       8                       8                  8                 8                       8                        8                        8                       8                       8                  8                 8                       8                        8                        8                       8                       8                
Misassembled contigs length                     30867105          30862332                30864140                 30855723                 30852485                30847715                30848193           30866747          30862810                30867513                 30858217                 30852216                30847455                30848654           30870433          30862880                30870915                 30863583                 30855714                30850694                30851667         
# possibly misassembled contigs                 7                 7                       7                        7                        7                       7                       8                  7                 7                       7                        7                        7                       7                       8                  7                 7                       7                        7                        7                       7                       8                
    # possible misassemblies                    98                98                      96                       98                       98                      96                      165                98                98                      96                       96                       98                      96                      172                100               100                     96                       94                       100                     90                      232              
# local misassemblies                           117               117                     130                      129                      147                     136                     207                115               116                     131                      129                      150                     139                     213                117               120                     127                      136                      146                     145                     261              
# scaffold gap ext. mis.                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.                        0                 1                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# misassemblies caused by fragmented reference  252               253                     251                      253                      252                     252                     181                252               253                     250                      253                      250                     251                     173                254               254                     250                      249                      247                     247                     179              
# unaligned mis. contigs                        0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# mismatches                                    53422             50956                   53947                    53151                    54113                   53283                   82928              53496             51023                   53862                    53182                    53791                   54064                   83008              53415             50987                   54896                    53376                    54296                   54219                   85224            
# indels                                        11565             6799                    8159                     8053                     20051                   18978                   93804              11660             7238                    13161                    12926                    20118                   18907                   93931              11650             7161                    13208                    12947                    19794                   19048                   94972            
    # indels (<= 5 bp)                          10897             6143                    7559                     7448                     19386                   18329                   92550              11014             6576                    12564                    12320                    19465                   18271                   92705              11003             6486                    12610                    12352                    19120                   18383                   93741            
    # indels (> 5 bp)                           668               656                     600                      605                      665                     649                     1254               646               662                     597                      606                      653                     636                     1226               647               675                     598                      595                      674                     665                     1231             
Indels length                                   45931             40873                   41062                    41412                    58395                   56336                   158948             45924             41423                   46688                    46470                    57921                   55235                   158543             45656             41353                   46825                    46525                    58181                   56940                   160047           
