Assembly	r10_2bins_1_MP	r10_2bins_1_MP_helen	r10_2bins_1_r1_medaka	r10_2bins_1_r2_medaka	r10_2bins_1_racon_r1	r10_2bins_1_racon_r2	r10_2bins_1_raw	r10_2bins_2_MP	r10_2bins_2_MP_helen	r10_2bins_2_r1_medaka	r10_2bins_2_r2_medaka	r10_2bins_2_racon_r1	r10_2bins_2_racon_r2	r10_2bins_2_raw	r10_2bins_3_MP	r10_2bins_3_MP_helen	r10_2bins_3_r1_medaka	r10_2bins_3_r2_medaka	r10_2bins_3_racon_r1	r10_2bins_3_racon_r2	r10_2bins_3_raw
# misassemblies	74	73	74	78	74	80	76	74	73	73	77	74	78	75	74	73	73	76	74	80	75
  # contig misassemblies	74	73	74	78	74	80	76	74	73	73	77	74	78	75	74	73	73	76	74	80	75
    # c. relocations	4	3	3	7	3	8	4	4	3	3	6	3	6	4	4	3	3	5	3	6	4
    # c. translocations	70	70	71	71	71	72	72	70	70	70	71	71	72	71	70	70	70	71	71	74	71
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	1947363	1945924	1946055	1936041	1934715	1928577	1945528	1947395	1946836	1946184	1935951	1935382	1929636	1945673	1947381	1946440	1946201	1937045	1935221	1928675	1945673
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	36	36	36	40	36	34	42	36	36	36	36	36	32	42	36	36	34	36	36	32	42
# local misassemblies	12	15	31	30	45	35	29	12	12	29	30	44	37	29	11	14	29	32	45	36	29
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	66	66	64	65	62	63	39	66	66	64	65	62	63	37	66	66	65	65	62	64	38
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	4823	4798	5371	4950	4800	4834	6496	4820	4829	5268	5099	4840	4872	6435	4863	4880	5224	5038	4826	4810	6449
# indels	209	200	262	190	1010	970	6307	218	251	228	233	1073	939	6283	222	227	221	220	1065	980	6282
    # indels (<= 5 bp)	159	151	212	138	942	897	6202	170	198	181	184	997	873	6181	172	175	170	166	986	910	6180
    # indels (> 5 bp)	50	49	50	52	68	73	105	48	53	47	49	76	66	102	50	52	51	54	79	70	102
Indels length	2615	2627	2779	2858	4671	4698	11401	2615	2828	2615	2835	5155	4466	11325	2735	2783	2773	2981	5154	4905	11214
