All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_v2_1_MP  r10_2bins_v2_1_MP_helen  r10_2bins_v2_1_r1_medaka  r10_2bins_v2_1_r2_medaka  r10_2bins_v2_1_racon_r1  r10_2bins_v2_1_racon_r2  r10_2bins_v2_1_raw  r10_2bins_v2_2_MP  r10_2bins_v2_2_MP_helen  r10_2bins_v2_2_r1_medaka  r10_2bins_v2_2_r2_medaka  r10_2bins_v2_2_racon_r1  r10_2bins_v2_2_racon_r2  r10_2bins_v2_2_raw  r10_2bins_v2_3_MP  r10_2bins_v2_3_MP_helen  r10_2bins_v2_3_r1_medaka  r10_2bins_v2_3_r2_medaka  r10_2bins_v2_3_racon_r1  r10_2bins_v2_3_racon_r2  r10_2bins_v2_3_raw
# misassemblies                                 73                 74                       75                        80                        75                       84                       76                  74                 73                       75                        77                        75                       78                       76                  74                 73                       75                        83                        75                       81                       75                
  # contig misassemblies                        73                 74                       75                        80                        75                       84                       76                  74                 73                       75                        77                        75                       78                       76                  74                 73                       75                        83                        75                       81                       75                
    # c. relocations                            3                  4                        3                         8                         3                        8                        4                   4                  3                        3                         5                         3                        5                        4                   4                  3                        3                         9                         3                        6                        4                 
    # c. translocations                         70                 70                       72                        72                        72                       76                       72                  70                 70                       72                        72                        72                       73                       72                  70                 70                       72                        74                        72                       75                       71                
    # c. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
  # scaffold misassemblies                      0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. relocations                            0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. translocations                         0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassembled contigs                          1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
Misassembled contigs length                     1947340            1945329                  1945420                   1935288                   1934551                  1928060                  1945527             1947346            1946317                  1945360                   1937122                   1934693                  1930488                  1945495             1947388            1946735                  1945361                   1929454                   1934914                  1926310                  1945501           
# possibly misassembled contigs                 1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
    # possible misassemblies                    36                 36                       34                        36                        36                       34                       42                  36                 36                       34                        34                        34                       34                       40                  36                 36                       34                        34                        36                       32                       42                
# local misassemblies                           12                 12                       33                        27                        44                       32                       29                  11                 13                       28                        29                        46                       32                       30                  12                 12                       29                        25                        45                       39                       30                
# scaffold gap ext. mis.                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# scaffold gap loc. mis.                        0                  1                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassemblies caused by fragmented reference  66                 66                       63                        65                        62                       62                       40                  66                 66                       63                        64                        63                       63                       39                  66                 66                       63                        64                        63                       61                       40                
# unaligned mis. contigs                        6                  6                        6                         6                         6                        6                        6                   6                  6                        6                         6                         6                        6                        6                   6                  6                        6                         6                         6                        6                        6                 
# mismatches                                    4893               4821                     5226                      5046                      4878                     4841                     6313                4792               4773                     5409                      5017                      4887                     4843                     6401                4841               4809                     5367                      5096                      4865                     4820                     6734              
# indels                                        222                198                      225                       285                       1019                     940                      6311                203                197                      291                       194                       1030                     965                      6312                218                190                      260                       226                       1023                     919                      6366              
    # indels (<= 5 bp)                          172                144                      174                       233                       942                      877                      6209                152                145                      240                       142                       958                      893                      6211                170                139                      212                       178                       947                      847                      6264              
    # indels (> 5 bp)                           50                 54                       51                        52                        77                       63                       102                 51                 52                       51                        52                        72                       72                       101                 48                 51                       48                        48                        76                       72                       102               
Indels length                                   2739               2783                     2722                      2940                      4868                     4430                     11379               2728               2746                     2867                      2736                      4837                     4449                     11334               2608               2708                     2752                      2695                      4951                     5018                     11306             
