All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        MP_helen_r10_1  MP_helen_r10_2  MP_helen_r10_3  MP_r10_1  MP_r10_2  MP_r10_3  r1_medaka_r10_1  r1_medaka_r10_2  r1_medaka_r10_3  r2_medaka_r10_1  r2_medaka_r10_2  r2_medaka_r10_3  racon_r1_r10_1  racon_r1_r10_2  racon_r1_r10_3  racon_r2_r10_1  racon_r2_r10_2  racon_r2_r10_3  raw_r10_1  raw_r10_2  raw_r10_3
# misassemblies                                 21              21              21              21        21        21        21               21               21               21               21               21               21              21              21              21              21              21              19         19         19       
  # contig misassemblies                        21              21              21              21        21        21        21               21               21               21               21               21               21              21              21              21              21              21              19         19         19       
    # c. relocations                            1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               1          1          1        
    # c. translocations                         20              20              20              20        20        20        20               20               20               20               20               20               20              20              20              20              20              20              18         18         18       
    # c. inversions                             0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
  # scaffold misassemblies                      0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # s. relocations                            0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # s. translocations                         0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # s. inversions                             0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
# misassembled contigs                          1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               1          1          1        
Misassembled contigs length                     4765293         4765903         4765296         4765362   4766035   4765940   4765290          4765413          4765355          4765312          4765387          4765372          4764581         4764920         4764661         4764695         4764766         4764706         4763429    4763874    4763424  
# possibly misassembled contigs                 1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               1          1          1        
    # possible misassemblies                    12              12              12              12        12        12        12               12               12               12               12               12               12              12              12              12              12              12              34         28         32       
# local misassemblies                           36              37              37              36        37        37        36               36               36               36               37               36               36              37              36              36              36              36              61         48         57       
# scaffold gap ext. mis.                        0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
# scaffold gap loc. mis.                        0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
# misassemblies caused by fragmented reference  42              42              42              42        42        42        42               42               42               42               42               42               42              42              42              42              41              42              35         39         36       
# unaligned mis. contigs                        6               6               6               6         6         6         6                6                6                6                6                6                6               6               6               6               6               6               6          6          6        
# mismatches                                    20510           20233           20523           20360     20396     20456     20680            20711            20506            20700            20695            20495            20548           21121           20329           21144           21153           20838           22639      22635      23548    
# indels                                        807             854             850             957       978       980       742              732              708              730              704              689              1700            1701            1688            1524            1586            1576            11062      11164      11127    
    # indels (<= 5 bp)                          706             755             751             857       877       882       645              634              611              633              607              592              1603            1603            1591            1427            1487            1478            10862      10964      10928    
    # indels (> 5 bp)                           101             99              99              100       101       98        97               98               97               97               97               97               97              98              97              97              99              98              200        200        199      
Indels length                                   6112            6140            6070            6220      6294      6239      5976             6021             5919             5962             5860             5899             7102            7124            7084            6881            6982            6941            20270      20739      20311    
